Type,Trans Date,Post Date,Description,Amount,Kind,Expense
Sale,12/20/16,12/21/16,ADIDAS ONLINE STORE,-47.96,Goods,1
Sale,12/19/16,12/20/16,SQ *TEAVEN,-4.15,Foods,1
Sale,12/19/16,12/20/16,99 RANCH #1769,-62.56,Groceries,1
Sale,12/19/16,12/21/16,OFFICE DEPOT  1135,-49.04,Goods,1
Sale,12/19/16,12/20/16,99 RANCH #1769,-9.43,Groceries,1
Sale,12/18/16,12/19/16,TARGET        00010546,-32.99,Goods,1
Sale,12/18/16,12/20/16,85C BAKERY CAFE USA,-12.24,Foods,1
Sale,12/18/16,12/19/16,EKITCHENBUY INC,-84.99,Groceries,1
Sale,12/18/16,12/19/16,SKR*AbeBooks.co 3TKZCQ,-24.96,Study,1
Sale,12/18/16,12/20/16,85C BAKERY CAFE USA,-29.33,Foods,1
Sale,12/17/16,12/19/16,TOGOS BASKIN-ROBBINS PALO,-20.55,Foods,1
Return,12/17/16,12/19/16,IKEA EAST PALO ALTO,43.59,Furniture,0
Sale,12/17/16,12/19/16,IKEA EAST PALO ALTO,-130.77,Furniture,1
Sale,12/16/16,12/19/16,WASHINGTON CAFE INC,-36,Foods,1
Sale,12/16/16,12/18/16,SQ *COOL TEA BAR  WAVERLY,-4.91,Coffee,1
Sale,12/16/16,12/18/16,SQ *COOL TEA BAR  WAVERLY,-4.91,Coffee,1
Sale,12/16/16,12/18/16,BUYDIG,-219,Etc,1
Sale,12/15/16,12/18/16,KUKJE SUPER MARKET,-69.53,Groceries,1
Sale,12/14/16,12/15/16,Amazon Digital Svcs,-9.99,Goods,1
Sale,12/14/16,12/15/16,SKR*AbeBooks.co 3THH2E,-20.54,Study,1
Sale,12/14/16,12/15/16,UDACITY,-800,Study,1
Sale,12/14/16,12/16/16,SUBWAY        00301960,-5.71,Foods,1
Sale,12/14/16,12/15/16,AMAZON MKTPLACE PMTS,-15.12,Goods,1
Sale,12/14/16,12/15/16,COSTCO.COM  *ONLINE,-87.19,Groceries,1
Sale,12/14/16,12/15/16,KAISER PHARM 2941,-10,Medical,1
Sale,12/14/16,12/15/16,COSTCO.COM  *ONLINE,-118.79,Groceries,1
Sale,12/11/16,12/13/16,IKEA EAST PALO ALTO,-139.44,Furniture,1
Sale,12/11/16,12/11/16,AMAZON MKTPLACE PMTS,-12.58,Goods,1
Sale,12/11/16,12/11/16,Amazon.com,-16.33,Goods,1
Sale,12/10/16,12/11/16,A&amp;A GAS,-18.56,Auto,1
Sale,12/10/16,12/12/16,85C BAKERY CAFE USA,-19.05,Foods,1
Sale,12/9/16,12/12/16,KUKJE DELI &amp; SUSHI,-24.96,Groceries,1
Sale,12/9/16,12/11/16,USPS PO 0510320114,-20.99,Etc,1
Sale,12/9/16,12/12/16,KUKJE SUPER MARKET,-53.95,Groceries,1
Sale,12/8/16,12/8/16,Amazon.com,-6.16,Goods,1
Sale,12/8/16,12/8/16,PURITANS PRIDE,-26.34,Medical,1
Sale,12/7/16,12/8/16,STATE OF CALIF DMV INT SC,-105,Auto,1
Sale,12/7/16,12/9/16,WALGREENS #6655,-4.89,Groceries,1
Return,12/6/16,12/7/16,WWW.NEWEGG.COM,59.11,Goods,0
Payment,12/6/16,12/6/16,Payment Thank You - Web,362.82,Payment,0
Sale,12/6/16,12/7/16,PHO HUYNH HIEP 4,-20.26,Foods,1
Payment,12/4/16,12/4/16,Payment Thank You - Web,2325.46,Payment,0
Sale,12/4/16,12/5/16,SQ *TEAVEN,-4.55,Foods,1
Sale,12/4/16,12/7/16,KUKJE SUPER MARKET,-71.38,Groceries,1
Sale,12/4/16,12/5/16,99 RANCH #1769,-9.43,Groceries,1
Sale,12/4/16,12/5/16,99 RANCH #1769,-1.29,Groceries,1
Return,12/4/16,12/4/16,AmazonPrime Membership,11.98,Goods,0
Sale,12/4/16,12/4/16,AmazonPrime Membership,-11.98,Goods,1
Sale,12/4/16,12/5/16,PAYPAL *BESTBUY COM,-217.98,Goods,1
Sale,12/4/16,12/5/16,99 RANCH #1769,-36.56,Groceries,1
Sale,12/3/16,12/5/16,YUMMY SZECHUAN,-51.01,Foods,1
Sale,12/2/16,12/4/16,MARRIOTT JW SAN FRANCISCO,-36,Etc,1
Sale,12/2/16,12/4/16,SFMTA ELLIS &amp; O'FARRELL,-6,Auto,1
Payment,12/1/16,12/1/16,Payment Thank You - Web,1000,Payment,0
Sale,12/1/16,12/2/16,WWW.NEWEGG.COM,-85.99,Goods,1
Sale,11/30/16,12/1/16,WWW.NEWEGG.COM,-59.11,Goods,1
Sale,11/30/16,12/1/16,KAISER 02090311,-10,Medical,1
Sale,11/30/16,12/2/16,WALGREENS #6655,-22.8,Groceries,1
Sale,11/29/16,12/1/16,STARBUCKS STORE 06677,-5,Coffee,1
Sale,11/29/16,11/30/16,PAYPAL *HARMANAUDIO,-21.6,Goods,1
Sale,11/29/16,12/1/16,STARBUCKS STORE 06677,-20,Coffee,1
Sale,11/29/16,11/30/16,ORDER.WISH.COM,-1,Goods,1
Sale,11/28/16,11/29/16,PAYPAL *SPOTIFYUSAI,-9.99,Music,1
Sale,11/28/16,11/30/16,KUKJE SUPER MARKET,-34.2,Groceries,1
Sale,11/28/16,11/29/16,KAISER 02090311,-10,Medical,1
Sale,11/28/16,12/1/16,ABM PARKING 1670 OWEN ST,-3,Parking,1
Sale,11/28/16,11/30/16,SAFEWAY STORE 00015479,-32.71,Groceries,1
Sale,11/28/16,11/30/16,SAFEWAY STORE 00015479,-4.89,Groceries,1
Sale,11/28/16,11/29/16,LIVING SPACES,-529.55,Furniture,1
Sale,11/28/16,11/30/16,YELPINC*EAT24 BONCHON,-34.91,Foods,1
Sale,11/27/16,11/28/16,AMAZON MKTPLACE PMTS,-83.39,Goods,1
Sale,11/27/16,11/28/16,Amazon.com,-86.11,Goods,1
Sale,11/27/16,11/27/16,AMAZON MKTPLACE PMTS,-32.69,Goods,1
Sale,11/26/16,11/27/16,AMAZON MKTPLACE PMTS,-21.37,Goods,1
Sale,11/26/16,11/27/16,AMAZON MKTPLACE PMTS,-34.95,Goods,1
Sale,11/26/16,11/27/16,GEICO  *AUTO,-49.17,Auto,1
Sale,11/25/16,11/27/16,A&amp;A GAS,-25.75,Auto,1
Sale,11/25/16,11/27/16,IKEA EAST PALO ALTO,-365.78,Furniture,1
Return,11/25/16,11/27/16,IKEA EAST PALO ALTO,14.88,Furniture,0
Sale,11/25/16,11/27/16,IKEA EAST PALO ALTO,-14.87,Furniture,1
Sale,11/24/16,11/27/16,KUKJE SUPER MARKET,-24.53,Groceries,1
Sale,11/24/16,11/27/16,STARBUCKS STORE 05934,-2.45,Coffee,1
Sale,11/24/16,11/25/16,99 RANCH #1782,-60.3,Groceries,1
Sale,11/24/16,11/27/16,TARGET        00003202,-75.06,Groceries,1
Sale,11/24/16,11/24/16,COMCAST CALIFORNIA,-44.98,Internet,1
Sale,11/23/16,11/24/16,TMOBILE*AUTO PAY,-80.42,Phone,1
Sale,11/23/16,11/24/16,H2O WIRELESS,-36,Phone,1
Sale,11/21/16,11/22/16,REEBOK E-COMM,-27.96,Clothing,1
Sale,11/20/16,11/21/16,COSTCO.COM  *ONLINE,-55,Groceries,1
Sale,11/20/16,11/21/16,CALIFORNIA AUTO CENTER,-219.95,Auto,1
Return,11/19/16,11/20/16,APL* ITUNES.COM/BILL,2.99,Return,0
Sale,11/19/16,11/20/16,AMAZON MKTPLACE PMTS,-65.12,Goods,1
Sale,11/19/16,11/21/16,KUKJE SUPER MARKET,-100.08,Groceries,1
Sale,11/19/16,11/21/16,KUKJE SUPER MARKET,-29.43,Groceries,1
Sale,11/19/16,11/20/16,APL* ITUNES.COM/BILL,-0.99,Phone,1
Sale,11/19/16,11/21/16,KUKJE SUPER MARKET,-2.61,Groceries,1
Sale,11/19/16,11/20/16,Amazon.com,-7.51,Goods,1
Sale,11/18/16,11/20/16,NORDSTROM RACK #0474,-70.65,Clothing,1
Sale,11/18/16,11/20/16,APL* ITUNES.COM/BILL,-6.98,Music,1
Sale,11/18/16,11/20/16,CLUB MONACO CORP,-64.31,Clothing,1
Return,11/18/16,11/20/16,NORDSTROM #0427,162.19,Return,0
Sale,11/18/16,11/18/16,AMAZON MKTPLACE PMTS,-12.95,Goods,1
Sale,11/17/16,11/20/16,CALVINKLEIN.COM,-34.07,Clothing,1
Sale,11/17/16,11/20/16,SAFEWAY STORE 00015479,-17.96,Groceries,1
Sale,11/16/16,11/17/16,GOOGLE *TeslaCoil,-4.99,Phone,1
Sale,11/16/16,11/17/16,AMAZON MKTPLACE PMTS,-1.65,Goods,1
Return,11/16/16,11/17/16,CLUB MONACO CORP,64.31,Return,0
Sale,11/16/16,11/18/16,SAFEWAY STORE 00026062,-8.99,Groceries,1
Sale,11/15/16,11/16/16,SQ *LINDA'S CATERING,-5.44,Foods,1
Sale,11/14/16,11/15/16,TU *TRANSUNION,-1,Unknown,1
Sale,11/14/16,11/15/16,YELPINC*EAT24 SENIORES,-29.92,Foods,1
Sale,11/14/16,11/15/16,Amazon Digital Svcs,-9.99,Goods,1
Sale,11/12/16,11/14/16,IKEA EAST PALO ALTO,-329.92,Furniture,1
Sale,11/12/16,11/14/16,IN-N-OUT BURGER #190,-18.69,Foods,1
Sale,11/12/16,11/14/16,WWW.ALIEXPRESS.COM,-15.59,Goods,1
Sale,11/11/16,11/14/16,KUKJE SUPER MARKET,-160.05,Groceries,1
Sale,11/11/16,11/14/16,KUKJE SUPER MARKET,-29.43,Groceries,1
Sale,11/11/16,11/13/16,APL* ITUNES.COM/BILL,-9.99,Phone,1
Sale,11/10/16,11/11/16,YELPINC*EAT24 SESAME K,-33.45,Foods,1
Sale,11/10/16,11/11/16,KFC/AW #230,-10.9,Foods,1
Sale,11/10/16,11/13/16,NORDSTROM DIRECT #0808,-203.5,Clothing,1
Sale,11/9/16,11/10/16,CLUB MONACO CORP,-64.31,Clothing,1
Sale,11/8/16,11/8/16,Amazon.com,-3.75,Goods,1
Sale,11/8/16,11/8/16,Amazon.com,-15.71,Goods,1
Return,11/8/16,11/9/16,BLOOMINGDALES.COM,43.59,Return,0
Sale,11/8/16,11/10/16,SAFEWAY STORE 00026062,-11.95,Groceries,1
Sale,11/7/16,11/8/16,STATE OF CALIF DMV INT SC,-2,Auto,1
Sale,11/7/16,11/7/16,AMAZON MKTPLACE PMTS,-11.97,Goods,1
Sale,11/7/16,11/9/16,IN-N-OUT BURGER #190,-7.79,Foods,1
Return,11/7/16,11/8/16,AMAZON MKTPLACE PMTS,21.95,Goods,0
Sale,11/7/16,11/8/16,SQ *TORRAKU RAMEN,-13.05,Foods,1
Sale,11/7/16,11/8/16,Amazon.com,-32.53,Goods,1
Sale,11/6/16,11/7/16,A&amp;A GAS,-19.88,Auto,1
Sale,11/6/16,11/8/16,SAFEWAY STORE 00015479,-13.83,Groceries,1
Sale,11/5/16,11/7/16,HANKOOK SUPERMARKET,-204.8,Groceries,1
Sale,11/5/16,11/7/16,IKEA EAST PALO ALTO,-104.83,Furniture,1
Sale,11/5/16,11/7/16,THE HOME DEPOT #6603,-40.71,Furniture,1
Return,11/5/16,11/6/16,Amazon.com,133.85,Return,0
Sale,11/5/16,11/6/16,IKEA EAST PALO ALTO,-2,Furniture,1
Sale,11/5/16,11/7/16,THE HOME DEPOT #6603,-7.6,Furniture,1
Sale,11/5/16,11/7/16,PAYPAL *UDEMY,-13,Study,1
Sale,11/4/16,11/6/16,PAYPAL *BRIANCOTTER,-45,Unknown,1
Sale,11/4/16,11/6/16,Amazon.com,-79.34,Auto,1
Sale,11/4/16,11/6/16,BURLINGAME LIQUOR,-12.31,Groceries,1
Return,11/3/16,11/4/16,AMAZON MKTPLACE PMTS,336.91,Return,0
Sale,11/3/16,11/3/16,COSTCO.COM  *ONLINE,-27.23,Groceries,1
Sale,11/3/16,11/4/16,COSTCO.COM  *ONLINE,-19.4,Groceries,1
Sale,11/3/16,11/6/16,YELPINC*EAT24 BONCHON,-34.91,Foods,1
Payment,11/3/16,11/3/16,Payment Thank You - Web,735.89,Payment,0
Sale,11/2/16,11/3/16,Amazon.com,-12.98,Goods,1
Sale,11/2/16,11/3/16,AMAZON MKTPLACE PMTS,-56.78,Goods,1
Sale,11/2/16,11/3/16,BLOOMINGDALES.COM,-87.16,Clothing,1
Return,11/2/16,11/3/16,AmazonPrime Membership,99.28,Return,0
Sale,11/2/16,11/2/16,AmazonPrime Membership,-107.91,Membership,1
Sale,11/2/16,11/3/16,YELPINC*EAT24 SENIORES,-34.72,Foods,1
Sale,11/2/16,11/3/16,AMAZON MKTPLACE PMTS,-40.84,Goods,1
Sale,11/2/16,11/3/16,Amazon.com,-98.09,Goods,1
Sale,11/2/16,11/3/16,Amazon.com,-61.53,Goods,1
Sale,11/1/16,11/2/16,YOURMECHANIC.COM,-96,Auto,1
Sale,11/1/16,11/2/16,Amazon.com,-95.28,Goods,1
Sale,11/1/16,11/3/16,SAFEWAY STORE 00015479,-9.26,Groceries,1
Sale,10/31/16,11/2/16,WALGREENS #6655,-22.8,Groceries,1
Payment,10/31/16,10/31/16,Payment Thank You - Web,3400,Payment,0
Sale,10/31/16,11/1/16,PAYPAL *UDEMY,-20,Study,1
Sale,10/31/16,10/31/16,AMAZON MKTPLACE PMTS,-29.95,Goods,1
Sale,10/30/16,10/31/16,Amazon.com,-179.84,Goods,1
Sale,10/30/16,10/30/16,Amazon.com,-25,Goods,1
Sale,10/30/16,10/30/16,COMCAST CALIFORN CS 1X,-50,Internet,1
Sale,10/30/16,10/31/16,AMAZON MKTPLACE PMTS,-336.91,Goods,1
Sale,10/30/16,11/1/16,BLUE LINE PIZZA - BURL,-31.88,Foods,1
Sale,10/30/16,10/31/16,99 RANCH #1782,-123.37,Groceries,1
Sale,10/30/16,10/31/16,AMAZON MKTPLACE PMTS,-23.99,Goods,1
Sale,10/30/16,10/30/16,Amazon.com,-14.64,Goods,1
Sale,10/29/16,11/1/16,UHI*U-HAULANY CAR SERVICE,-112.49,Moving,1
Sale,10/29/16,10/31/16,IKEA EAST PALO ALTO,-1.08,Furniture,1
Sale,10/29/16,11/2/16,THE HOME DEPOT #6603,-8.5,Furniture,1
Sale,10/29/16,10/31/16,STARBUCKS STORE 06871,-8.2,Coffee,1
Sale,10/29/16,10/30/16,Amazon.com,-190.62,Goods,1
Sale,10/29/16,10/31/16,SAFEWAY STORE 00015479,-13.98,Groceries,1
Sale,10/28/16,10/31/16,KUKJE SUPER MARKET,-24.4,Groceries,1
Sale,10/28/16,10/31/16,KUKJE SUPER MARKET,-30.42,Groceries,1
Sale,10/28/16,10/31/16,KUKJE SUPER MARKET,-164.85,Groceries,1
Sale,10/28/16,10/30/16,USPS CHANGE OF66100959,-1,Etc,1
Sale,10/27/16,10/28/16,SQ *LINDA'S CATERING,-5.44,Foods,1
Sale,10/27/16,10/30/16,IN-N-OUT BURGER #159,-7.79,Foods,1
Sale,10/27/16,10/28/16,WESTLAKE SMOG CHECK,-45,Auto,1
Sale,10/27/16,10/30/16,YELPINC*EAT24 GOLDEN M,-35.85,Foods,1
Sale,10/27/16,10/28/16,7-ELEVEN 19235,-28.53,Foods,1
Sale,10/26/16,10/28/16,IN-N-OUT BURGER #159,-7.79,Foods,1
Sale,10/26/16,10/28/16,SAFEWAY STORE 00026062,-13.52,Groceries,1
Sale,10/26/16,10/28/16,YAKINI Q,-50,Foods,1
Sale,10/26/16,10/27/16,GEICO  *AUTO,-50.05,Auto,1
Sale,10/26/16,10/27/16,BEST BUY      00001875,-24.45,Goods,1
Sale,10/26/16,10/27/16,USPS CHANGE OF66100959,-1,Etc,1
Sale,10/26/16,10/26/16,UBER TECHNOLOGIES INC,-15.81,Auto,1
Sale,10/26/16,10/27/16,STATE OF CALIF DMV INT SC,-35,Auto,1
Sale,10/25/16,10/27/16,STARBUCKS STORE 06677,-9.45,Coffee,1
Sale,10/25/16,10/26/16,CHIPOTLE 2080,-19.03,Foods,1
Sale,10/24/16,10/26/16,SAFEWAY STORE 00026062,-5.99,Groceries,1
Sale,10/24/16,10/26/16,SAFEWAY STORE 00026062,-30.1,Groceries,1
Sale,10/24/16,10/25/16,PAYPAL *CARFAX INC,-69.99,Auto,1
Sale,10/23/16,10/25/16,YELPINC*EAT24 PAPA RAY,-34.05,Foods,1
Sale,10/23/16,10/24/16,NOAH'S BAGELS #2147,-21.88,Foods,1
Sale,10/23/16,10/25/16,JAMBA JUICE 0354 QSR,-12.78,Foods,1
Sale,10/23/16,10/24/16,IMPERIAL GARDEN SEAFOOD,-31.17,Foods,1
Sale,10/23/16,10/24/16,TMOBILE*AUTO PAY,-80.56,Phone,1
Sale,10/22/16,10/24/16,PEET'S #31502,-2.8,Coffee,1
Sale,10/22/16,10/23/16,SQ *COOL TEA BAR ON WAVER,-8.72,Coffee,1
Sale,10/22/16,10/23/16,UBER   *US OCT21 6RGYY,-17.81,Auto,1
Sale,10/22/16,10/24/16,7-ELEVEN 33434,-8,Foods,1
Sale,10/22/16,10/24/16,TARGET        00027664,-18.78,Groceries,1
Sale,10/21/16,10/23/16,KAISER 02090314,-10,Medical,1
Sale,10/21/16,10/23/16,NIJIYA MARKET #62,-19.16,Groceries,1
Sale,10/21/16,10/23/16,SAFEWAY STORE 00026062,-7.74,Groceries,1
Sale,10/20/16,10/23/16,SAFEWAY STORE 00026062,-5,Groceries,1
Sale,10/20/16,10/21/16,PAPA RAYS PIZZA,-28.33,Foods,1
Sale,10/20/16,10/23/16,SUBWAY        00343418,-9.44,Foods,1
Sale,10/20/16,10/23/16,7-ELEVEN 33434,-8.69,Foods,1
Sale,10/20/16,10/23/16,STARBUCKS STORE 06677,-2.45,Coffee,1
Sale,10/20/16,10/23/16,SAFEWAY STORE 00026062,-4.44,Groceries,1
Sale,10/20/16,10/21/16,SQ *LINDA'S CATERING,-5.44,Foods,1
Sale,10/19/16,10/21/16,SAFEWAY STORE 00026062,-5,Groceries,1
Sale,10/19/16,10/21/16,ZAZANG RESTAURANT,-27.83,Foods,1
Sale,10/19/16,10/20/16,SQ *LINDA'S CATERING,-5.44,Foods,1
Sale,10/18/16,10/20/16,SAFEWAY STORE 00026062,-5.99,Groceries,1
Sale,10/18/16,10/20/16,AMICIS SF1 EAST COAST PIZ,-19.1,Foods,1
Sale,10/18/16,10/20/16,SAFEWAY STORE 00026062,-6.58,Groceries,1
Sale,10/18/16,10/20/16,STARBUCKS STORE 06677,-2.5,Coffee,1
Sale,10/17/16,10/18/16,7-ELEVEN 35663,-2.29,Foods,1
Sale,10/17/16,10/18/16,PANERA BREAD #2225,-5.64,Foods,1
Sale,10/17/16,10/19/16,SAFEWAY STORE 00026062,-11.95,Groceries,1
Sale,10/17/16,10/19/16,STARBUCKS STORE 06677,-2.45,Coffee,1
Sale,10/17/16,10/19/16,SAFEWAY STORE 00026062,-6.98,Groceries,1
Sale,10/17/16,10/18/16,KAISER 02090314,-10,Medical,1
Sale,10/17/16,10/19/16,SAFEWAY STORE 00026062,-43.3,Groceries,1
Sale,10/16/16,10/17/16,YELPINC*EAT24 ROMA PIZ,-39.77,Foods,1
Sale,10/15/16,10/17/16,MISS SAIGON,-26.27,Foods,1
Sale,10/15/16,10/17/16,TARGET        00027664,-7.1,Groceries,1
Sale,10/15/16,10/16/16,CVS/PHARMACY #02852,-15.53,Groceries,1
Sale,10/14/16,10/16/16,SAN BRUNO SUPERMARKET,-16.16,Groceries,1
Sale,10/14/16,10/16/16,WALGREENS #1626,-1.89,Groceries,1
Sale,10/13/16,10/16/16,SAFEWAY STORE 00026062,-14.12,Groceries,1
Sale,10/13/16,10/13/16,UBER   *US OCT12 SFGL5,-17.42,Auto,1
Sale,10/13/16,10/13/16,AGI*RENTERS/CONDO INS,-104,Apt,1
Sale,10/12/16,10/13/16,TARGET        00027664,-77.1,Groceries,1
Sale,10/12/16,10/13/16,CHIPOTLE 1460,-24.03,Foods,1
Sale,10/12/16,10/14/16,STARBUCKS STORE 06677,-2.95,Coffee,1
Sale,10/11/16,10/12/16,EQUITY RESIDENTIAL MGMT,-70,Apt,1
Sale,10/11/16,10/12/16,UBER TECHNOLOGIES INC,-28.03,Auto,1
Sale,10/11/16,10/12/16,EQUITY RESIDENTIAL MGMT,-100,Apt,1
Sale,10/11/16,10/14/16,HERBST THEATER C&amp;M,-7.07,Coffee,1
Sale,10/11/16,10/12/16,SQ *BLUE BOTTLE COFFEE,-14.95,Coffee,1
Sale,10/11/16,10/13/16,JIN MI BBQ&amp;TOFU,-26,Foods,1
Sale,10/11/16,10/12/16,UBER TECHNOLOGIES INC,-16.65,Auto,1
Sale,10/10/16,10/12/16,TARGET        00027664,-22.41,Groceries,1
Sale,10/10/16,10/11/16,CHIPOTLE 1460,-11.96,Foods,1
Sale,10/10/16,10/14/16,LAST CALL 227,-130.17,Clothing,1
Sale,10/10/16,10/12/16,BRICK HOUSE CAFE,-17.94,Coffee,1
Sale,10/10/16,10/12/16,STARBUCKS STORE 06677,-2.95,Coffee,1
Sale,10/10/16,10/11/16,CHIPOTLE 1460,-9.52,Foods,1
Sale,10/9/16,10/11/16,GUM KUO RESTAURANT,-10.5,Foods,1
Sale,10/9/16,10/11/16,STARBUCKS STORE 10347,-2.45,Coffee,1
Sale,10/9/16,10/11/16,SHAN DONG RESTAURANT,-24.96,Foods,1
Sale,10/9/16,10/11/16,ASIAN BOX,-12.51,Foods,1
Sale,10/8/16,10/10/16,SAFEWAY  STORE00003053,-2.82,Groceries,1
Sale,10/8/16,10/9/16,OLYMPUS CAFE,-5.09,Coffee,1
Sale,10/8/16,10/9/16,OLYMPUS CAFE,-5.93,Coffee,1
Sale,10/8/16,10/9/16,SQ *TEATIME,-3.77,Coffee,1
Sale,10/8/16,10/9/16,CHINA VILLAGE,-32,Foods,1
Sale,10/8/16,10/10/16,STARBUCKS STORE 00555,-2.75,Coffee,1
Sale,10/7/16,10/9/16,SAFEWAY STORE 00026062,-5,Groceries,1
Sale,10/7/16,10/9/16,STARBUCKS STORE 06677,-2.95,Coffee,1
Sale,10/7/16,10/9/16,PAPA RAYS PIZZA,-39.22,Foods,1
Payment,10/7/16,10/7/16,Payment Thank You - Web,100,Payment,0
Sale,10/6/16,10/6/16,UBER   *US OCT05 GFB5B,-14.99,Auto,1
Sale,10/6/16,10/7/16,SQ *LINDA'S CATERING,-5.44,Foods,1
Sale,10/6/16,10/9/16,COCO BANG,-18.53,Foods,1
Sale,10/6/16,10/9/16,COCO BANG,-8.65,Foods,1
Payment,10/6/16,10/6/16,Payment Thank You - Web,1480.6,Payment,0
Sale,10/5/16,10/7/16,STARBUCKS STORE 06677,-2.95,Coffee,1
Sale,10/5/16,10/7/16,JIN MI BBQ&amp;TOFU,-30.17,Foods,1
Sale,10/5/16,10/5/16,Amazon.com,-137.06,Goods,1
Sale,10/5/16,10/6/16,SQ *HRDTM,-15.22,Foods,1
Sale,10/4/16,10/6/16,STARBUCKS STORE 06677,-4.95,Coffee,1
Sale,10/4/16,10/6/16,AMICIS SF1 EAST COAST PIZ,-25.37,Foods,1
Sale,10/3/16,10/4/16,FEDEXOFFICE   00022368,-0.91,Goods,1
Sale,10/3/16,10/5/16,MACY'S EAST #428,-5.71,Clothing,1
Sale,10/3/16,10/5/16,WASHINGTON CAFE INC,-44.35,Coffee,1
Sale,10/3/16,10/4/16,AMAZON MKTPLACE PMTS,-199,Goods,1
Sale,10/2/16,10/4/16,WALGREENS #15567,-5.43,Groceries,1
Sale,10/2/16,10/4/16,MACY'S EAST #428,-5.06,Clothing,1
Sale,10/2/16,10/3/16,SORABOL SF CENTER,-23.27,Foods,1
Sale,10/1/16,10/4/16,WASHINGTON CAFE INC,-30.34,Coffee,1
